file_path,original_text,character,zhtw
gup_alice/sentences/ally_killed_by_player_01.json,You just hit an ally.,alice,你剛剛擊中了友軍。
gup_alice/sentences/ally_killed_by_player_02.json,What are you doing? You just hit an ally.,alice,你在做什麼？你剛剛擊中了友軍。
gup_alice/sentences/ally_killed_by_player_03.json,That was our ally.,alice,那是我們的友軍。
gup_alice/sentences/ally_killed_by_player_04.json,Aim more carefully. You just hit an ally.,alice,瞄準要更小心。你剛剛擊中了友軍。
gup_alice/sentences/ally_killed_by_player_05.json,Don't shoot our allies.,alice,不要射擊我們的友軍。
gup_alice/sentences/ammo_bay_damaged_01.json,The ammo rack is damaged. There's a risk of it exploding.,alice,彈藥架受損了。有爆炸的風險。
gup_alice/sentences/ammo_bay_damaged_02.json,"The ammo rack has been damaged. It might explode, so be careful.",alice,彈藥架受損了。它可能會爆炸，要小心。
gup_alice/sentences/ammo_bay_damaged_03.json,The enemy's aiming for your ammo rack. Stay alert.,alice,敵人正在瞄準你的彈藥架。保持警戒。
gup_alice/sentences/ammo_bay_damaged_04.json,The enemy's hitting the ammo rack.,alice,敵人正在攻擊彈藥架。
gup_alice/sentences/armor_not_pierced_by_player_01.json,That failed to pierce their armor.,alice,那未能貫穿他們的裝甲。
gup_alice/sentences/armor_not_pierced_by_player_02.json,Your shot didn't make it through their armor.,alice,你的射擊未能穿透他們的裝甲。
gup_alice/sentences/armor_not_pierced_by_player_03.json,Their armor blocked your shot.,alice,他們的裝甲擋住了你的射擊。
gup_alice/sentences/armor_not_pierced_by_player_04.json,"You hit the target, but it had little effect.",alice,你擊中了目標，但效果不大。
gup_alice/sentences/armor_not_pierced_by_player_05.json,That shot failed to penetrate their armor.,alice,那一發未能貫穿他們的裝甲。
gup_alice/sentences/armor_pierced_by_player_01.json,That pierced their armor.,alice,那貫穿了他們的裝甲。
gup_alice/sentences/armor_pierced_by_player_02.json,Enemy armor pierced.,alice,敵方裝甲被貫穿了。
gup_alice/sentences/armor_pierced_by_player_03.json,That shot definitely made it through their armor.,alice,那一發絕對貫穿了他們的裝甲。
gup_alice/sentences/armor_pierced_by_player_04.json,Nice one.,alice,漂亮的一擊。
gup_alice/sentences/armor_pierced_by_player_05.json,Keep it up.,alice,繼續保持。
gup_alice/sentences/armor_pierced_crit_by_player_01.json,Damage to the enemy tank has been confirmed.,alice,敵方戰車損傷已確認。
gup_alice/sentences/armor_pierced_crit_by_player_02.json,That's effective.,alice,那很有效。
gup_alice/sentences/armor_pierced_crit_by_player_03.json,Good work. You've hit the target.,alice,幹得好。你擊中了目標。
gup_alice/sentences/armor_ricochet_by_player_01.json,Looks like it ricocheted.,alice,看起來是跳彈了。
gup_alice/sentences/armor_ricochet_by_player_02.json,That one ricocheted. Maybe your angle is a little off.,alice,那一發跳彈了。也許你的角度有點偏。
gup_alice/sentences/armor_ricochet_by_player_03.json,I guess that one ricocheted.,alice,我猜那是跳彈了。
gup_alice/sentences/armor_ricochet_by_player_04.json,A ricochet. Maybe the angle wasn't right.,alice,是跳彈。也許角度不對。
gup_alice/sentences/armor_ricochet_by_player_05.json,Seems that was a ricochet.,alice,看起來那是跳彈。
gup_alice/sentences/armor_ricochet_by_player_06.json,"That hit, but I think it ricocheted.",alice,那擊中了，但我覺得是跳彈了。
gup_alice/sentences/armor_ricochet_by_player_07.json,It's a ricochet. Load the next round immediately.,alice,是跳彈。立刻裝填下一發。
gup_alice/sentences/armor_ricochet_by_player_08.json,That bounced off. The next shot will find its mark.,alice,那彈開了。下一發會命中目標。
gup_alice/sentences/armor_ricochet_by_player_09.json,The shot bounced off their armor.,alice,射擊從他們的裝甲彈開了。
gup_alice/sentences/armor_ricochet_by_player_10.json,Looks like it ricocheted.,alice,看起來是跳彈了。
gup_alice/sentences/armor_ricochet_by_player_11.json,Don't panic. Your shot hit its target at least.,alice,別慌。你的射擊至少擊中了目標。
gup_alice/sentences/armor_ricochet_by_player_12.json,Looks like it ricocheted. Better luck next time.,alice,看起來是跳彈了。下次好運。
gup_alice/sentences/armor_ricochet_by_player_13.json,That ricocheted. Let's change the angle.,alice,那跳彈了。讓我們換個角度。
gup_alice/sentences/armor_ricochet_by_player_14.json,That was a ricochet. Maybe the angle was too tight.,alice,那是跳彈。也許角度太陡了。
gup_alice/sentences/armor_ricochet_by_player_15.json,That ricocheted. Pay close attention to the angle next time.,alice,那跳彈了。下次注意角度。
gup_alice/sentences/commander_killed_01.json,I've been hit.,alice,我被擊中了。
gup_alice/sentences/commander_killed_02.json,Didn't see that coming.,alice,沒料到會這樣。
gup_alice/sentences/commander_killed_03.json,This shock wave... It reminds me of being seasick...,alice,這個衝擊波…讓我想起暈船了…
gup_alice/sentences/commander_killed_04.json,I think I'm a little seasick.,alice,我覺得有點暈船。
gup_alice/sentences/commander_killed_05.json,Gah. Are they targeting me?,alice,哎呀。他們在瞄準我嗎？
gup_alice/sentences/commander_killed_06.json,I've been hit. I need a short rest.,alice,我被擊中了。我需要短暫休息。
gup_alice/sentences/commander_killed_07.json,"Hey, I'm okay... I can still fight!",alice,嘿，我還好…我還能戰鬥！
gup_alice/sentences/crew_deactivated_01.json,We lost...,alice,我們輸了…
gup_alice/sentences/crew_deactivated_02.json,They took down all of us? Let's get out of here.,alice,他們把我們全擊倒了？我們撤退吧。
gup_alice/sentences/crew_deactivated_03.json,...We'll win next time. I guarantee it!,alice,…我們下次會贏。我保證！
gup_alice/sentences/crew_deactivated_04.json,This is not your fault. I take full responsibility as captain...,alice,這不是你的錯。我作為隊長負全責…
gup_alice/sentences/crew_deactivated_05.json,...We're getting out of here.,alice,…我們撤退吧。
gup_alice/sentences/damage_by_near_explosion_by_player_01.json,It missed.,alice,它沒擊中。
gup_alice/sentences/damage_by_near_explosion_by_player_02.json,Looks like it wasn't a direct hit.,alice,看起來不是直接命中。
gup_alice/sentences/damage_by_near_explosion_by_player_03.json,You almost had them.,alice,你差點就擊中他們了。
gup_alice/sentences/damage_by_near_explosion_by_player_04.json,Looks like it missed. Load the next round quickly.,alice,看起來沒擊中。快速裝填下一發。
gup_alice/sentences/damage_by_near_explosion_by_player_05.json,"We almost had them, but they managed to avoid it.",alice,我們差點就擊中他們了，但他們設法躲開了。
gup_alice/sentences/driver_killed_01.json,The driver's seat has been damaged. What's your status?,alice,駕駛座受損了。你的狀況如何？
gup_alice/sentences/driver_killed_02.json,The driver's seat is taking fire. Give me a status report.,alice,駕駛座正在遭受攻擊。給我狀況報告。
gup_alice/sentences/driver_killed_03.json,The driver's seat is hit. Can you carry on?,alice,駕駛座被擊中了。你能繼續嗎？
gup_alice/sentences/driver_killed_04.json,They're aiming for the driver's seat. I need a status report.,alice,他們在瞄準駕駛座。我需要狀況報告。
gup_alice/sentences/enemy_fire_started_by_player_01.json,A fire has broken out in the enemy tank.,alice,敵方戰車起火了。
gup_alice/sentences/enemy_fire_started_by_player_02.json,It's in flames.,alice,它在燃燒中。
