file_path,original_text,character,zhtw
gup_crew_25/sentences/ally_killed_by_player_01.json,Do pay more attention. That was an ally you hit.,darjeeling,請多加注意，你擊中的是友軍。
gup_crew_25/sentences/ally_killed_by_player_02.json,Um...that one seems to be one of our own...,orange_pekoe,嗯……那好像是我們的友軍……
gup_crew_25/sentences/ally_killed_by_player_03.json,Look closely. That is an ally.,assam,仔細看，那是友軍。
gup_crew_25/sentences/ally_killed_by_player_04.json,Nothing could be more inelegant than fighting among ourselves.,darjeeling,沒有比自相殞地更不雅的事了。
gup_crew_25/sentences/ally_killed_by_player_05.json,"Erm, I believe that is an ally...",orange_pekoe,呃……我相信那是友軍……
gup_crew_25/sentences/ammo_bay_damaged_01.json,The ammo rack has been damaged.,orange_pekoe,彈藥架受損了。
gup_crew_25/sentences/ammo_bay_damaged_02.json,Eek!...The ammo rack has been hit.,orange_pekoe,呀！……彈藥架被擊中了！
gup_crew_25/sentences/ammo_bay_damaged_03.json,It appears they are targeting the ammo rack.,darjeeling,敵人似乎在瞄準我們的彈藥架。
gup_crew_25/sentences/ammo_bay_damaged_04.json,The ammo rack is taking fire. Stay calm and attend to the matter.,darjeeling,彈藥架遭到攻擊。保持冷靜，處理這件事。
gup_crew_25/sentences/armor_not_pierced_by_player_01.json,It seems you must pierce its armor with something else.,darjeeling,看來得用其他方式穿透它的裝甲。
gup_crew_25/sentences/armor_not_pierced_by_player_02.json,You should try aiming for its weak spot next.,darjeeling,試著瞄準它的弱點。
gup_crew_25/sentences/armor_not_pierced_by_player_02.json,Roger that.,assam,收到。
gup_crew_25/sentences/armor_not_pierced_by_player_03.json,"Unlike a scone, this armor is not so easily torn.",darjeeling,不像司康餅，這裝甲可沒那麼容易被撕裂。
gup_crew_25/sentences/armor_not_pierced_by_player_04.json,"Penetration failed. According to the data, our chance of penetrating that spot is low.",assam,穿透失敗。根據數據，那個部位的穿透機率很低。
gup_crew_25/sentences/armor_not_pierced_by_player_05.json,It doesn't seem like we've penetrated their armor.,orange_pekoe,似乎沒能穿透他們的裝甲。
gup_crew_25/sentences/armor_pierced_by_player_01.json,"Just as in my data, we've penetrated their armor.",assam,如我的數據預測，我們穿透了他們的裝甲。
gup_crew_25/sentences/armor_pierced_by_player_02.json,They are taking damage.,assam,敵方正在受損。
gup_crew_25/sentences/armor_pierced_by_player_03.json,We have successfully penetrated their armor.,orange_pekoe,我們成功穿透了他們的裝甲。
gup_crew_25/sentences/armor_pierced_by_player_04.json,"According to the data, that was their weak spot.",assam,根據數據，那是他們的弱點。
gup_crew_25/sentences/armor_pierced_by_player_04.json,Hehehe... That pierced their armor.,darjeeling,呵呵……那一擊穿透了他們的裝甲。
gup_crew_25/sentences/armor_pierced_by_player_05.json,"Have you heard the English saying, ""All's fair in love and war""?",darjeeling,你聽過英國諺語「愛與戰爭無所禁忌」嗎？
gup_crew_25/sentences/armor_pierced_crit_by_player_01.json,"You have damaged the enemy tank. All is fair in love and war, you know.",darjeeling,你擊傷了敵方戰車。愛與戰爭無所禁忌，你知道的。
gup_crew_25/sentences/armor_pierced_crit_by_player_02.json,They are hit. It's working.,assam,敵方被擊中。有效果。
gup_crew_25/sentences/armor_pierced_crit_by_player_03.json,"We've hit them, but...",orange_pekoe,我們擊中了他們，但是……
gup_crew_25/sentences/armor_ricochet_by_player_01.json,It seems that one's ricocheted.,orange_pekoe,好像彈開了。
gup_crew_25/sentences/armor_ricochet_by_player_02.json,Huh!? Ricochet!?,orange_pekoe,咦！？彈開了！？
gup_crew_25/sentences/armor_ricochet_by_player_02.json,Do not worry. Just make the next one count.,darjeeling,別擔心，讓下一擊命中。
gup_crew_25/sentences/armor_ricochet_by_player_03.json,"Your shot bounced, but do not fret. Simply relax and load the next shell.",darjeeling,你的炮彈彈開了，別急，放鬆點，裝填下一發。
gup_crew_25/sentences/armor_ricochet_by_player_03.json,Got it!,orange_pekoe,明白了！
gup_crew_25/sentences/armor_ricochet_by_player_04.json,That shot ricocheted. Try aiming for their weak spot next time.,darjeeling,那一發彈開了。下次試著瞄準他們的弱點。
gup_crew_25/sentences/armor_ricochet_by_player_05.json,Ricochet confirmed.,assam,確認彈開。
gup_crew_25/sentences/armor_ricochet_by_player_06.json,Penetration failed. That one bounced.,assam,穿透失敗。那發彈開了。
gup_crew_25/sentences/armor_ricochet_by_player_06.json,Shots will ricochet from time to time. Stay calm and focus on the next one.,darjeeling,炮彈偶爾會彈開。保持冷靜，專注下一發。
gup_crew_25/sentences/armor_ricochet_by_player_07.json,We've hit them but didn't penetrate their armor.,assam,我們擊中了，但沒穿透他們的裝甲。
gup_crew_25/sentences/armor_ricochet_by_player_08.json,That shot bounced. Perhaps your firing angle was off.,darjeeling,那一發彈開了。或許是射擊角度不對。
gup_crew_25/sentences/armor_ricochet_by_player_08.json,I'll collect the data on the ricochet angle.,assam,我會收集關於彈開角度的數據。
gup_crew_25/sentences/armor_ricochet_by_player_09.json,"According to the data, that one should have penetrated them...",assam,根據數據，那一發應該能穿透他們……
gup_crew_25/sentences/armor_ricochet_by_player_10.json,You almost had them.,darjeeling,你差點就擊中了。
gup_crew_25/sentences/armor_ricochet_by_player_11.json,Ricochet. Perhaps the angle wasn't right.,assam,彈開了。或許角度不對。
gup_crew_25/sentences/armor_ricochet_by_player_12.json,The shell is landing. Let's make the next one count.,orange_pekoe,炮彈落地了。讓下一發命中吧。
gup_crew_25/sentences/armor_ricochet_by_player_13.json,Their armor deflected it.,darjeeling,他們的裝甲把炮彈彈開了。
gup_crew_25/sentences/armor_ricochet_by_player_14.json,Ricochet. I'll load the next shell shortly.,orange_pekoe,彈開了。我馬上裝填下一發。
gup_crew_25/sentences/armor_ricochet_by_player_15.json,It seems the shell has bounced. Perhaps we should adjust the angle.,orange_pekoe,炮彈似乎彈開了。或許該調整角度。
gup_crew_25/sentences/commander_killed_01.json,Darjeeling-sama! Are you alright?,orange_pekoe,大吉嶺大人！您沒事吧？
gup_crew_25/sentences/commander_killed_02.json,Darjeeling! Are you okay?,assam,大吉嶺！你還好嗎？
gup_crew_25/sentences/commander_killed_02.json,Ungh... I think I need to take a short rest...,darjeeling,呃……我想我需要稍作休息……
gup_crew_25/sentences/commander_killed_03.json,Darjeeling! Are you hurt?,assam,大吉嶺！你受傷了嗎？
gup_crew_25/sentences/commander_killed_04.json,This enemy is stronger than I gave them credit for!,darjeeling,這個敵人比我想的還要強！
gup_crew_25/sentences/commander_killed_05.json,Ungh... I most definitely felt that blow!,darjeeling,呃……我確實感受到那一擊了！
gup_crew_25/sentences/commander_killed_06.json,"They are giving us quite the fight... However, that stops now!",darjeeling,他們給了我們相當的挑戰……但現在得結束了！
gup_crew_25/sentences/commander_killed_07.json,"Well done... However, I can still fight on!",darjeeling,幹得好……不過，我還能繼續戰鬥！
gup_crew_25/sentences/crew_deactivated_01.json,They've got the better of us...,orange_pekoe,他們占了上風……
gup_crew_25/sentences/crew_deactivated_02.json,Seems like this is as far as we go...,assam,似乎我們只能到此為止了……
gup_crew_25/sentences/crew_deactivated_03.json,I shall not forget this defeat.,darjeeling,我不會忘記這場敗仗。
gup_crew_25/sentences/crew_deactivated_04.json,"Have we been defeated? Worry not, for we simply need to lead an organized retreat.",darjeeling,我們被擊敗了？別擔心，我們只需有條不紊地撤退。
gup_crew_25/sentences/crew_deactivated_05.json,Stay elegant even in defeat. That is the St. Gloriana way.,darjeeling,即便失敗，也要保持優雅，這是聖葛羅莉安娜的風範。
gup_crew_25/sentences/damage_by_near_explosion_by_player_01.json,That was so close.,orange_pekoe,好險，差一點。
