file_path,original_text,character,zhtw
gup_darjeeling/sentences/ally_killed_by_player_01.json,Do pay more attention. That was an ally you hit.,darjeeling,請多加留意，你擊中的是我們的盟友。
gup_darjeeling/sentences/ally_killed_by_player_02.json,I believe that was actually one of our allies.,darjeeling,我相信那其實是我們的盟友。
gup_darjeeling/sentences/ally_killed_by_player_03.json,We must not shoot up our allies like that.,darjeeling,我們絕不能這樣攻擊盟友。
gup_darjeeling/sentences/ally_killed_by_player_04.json,Nothing could be more inelegant than fighting among ourselves.,darjeeling,沒有什麼比內部爭鬥更失禮的了。
gup_darjeeling/sentences/ally_killed_by_player_05.json,That was an ally. You must take care when lining up your shots.,darjeeling,那是盟友。瞄準時務必小心。
gup_darjeeling/sentences/ammo_bay_damaged_01.json,The ammo rack has been damaged. Be careful.,darjeeling,彈藥架受損，請小心行事。
gup_darjeeling/sentences/ammo_bay_damaged_02.json,They hit the ammo rack. Remain calm and see to its repairs.,darjeeling,敵人擊中彈藥架。保持冷靜，立即修復。
gup_darjeeling/sentences/ammo_bay_damaged_03.json,It appears they are targeting the ammo rack.,darjeeling,敵人似乎在瞄準我們的彈藥架。
gup_darjeeling/sentences/ammo_bay_damaged_04.json,The ammo rack is taking fire. Stay calm and attend to the matter.,darjeeling,彈藥架正在遭受攻擊。保持鎮定，處理此事。
gup_darjeeling/sentences/armor_not_pierced_by_player_01.json,It seems you must pierce its armor with something else.,darjeeling,似乎需要用其他方式來貫穿敵方裝甲。
gup_darjeeling/sentences/armor_not_pierced_by_player_02.json,You should try aiming for its weak spot next.,darjeeling,建議你下次瞄準敵人的弱點。
gup_darjeeling/sentences/armor_not_pierced_by_player_03.json,"Unlike a scone, this armor is not so easily torn.",darjeeling,與司康餅不同，這裝甲可沒那麼容易被擊破。
gup_darjeeling/sentences/armor_not_pierced_by_player_04.json,Their armor is much thicker than I expected.,darjeeling,敵人的裝甲比我想像的還要厚實。
gup_darjeeling/sentences/armor_not_pierced_by_player_05.json,An unexpected challenge. Perhaps we should have brought the Tortoise with us as well...,darjeeling,意料之外的挑戰。或許我們該帶上烏龜式戰車…
gup_darjeeling/sentences/armor_pierced_by_player_01.json,You have pierced their armor.,darjeeling,你成功貫穿了敵方裝甲。
gup_darjeeling/sentences/armor_pierced_by_player_02.json,Their armor will surely not withstand our shots.,darjeeling,敵人的裝甲絕對抵擋不住我們的攻擊。
gup_darjeeling/sentences/armor_pierced_by_player_03.json,You pierced their armor. Keep at it.,darjeeling,你貫穿了敵方裝甲，繼續保持！
gup_darjeeling/sentences/armor_pierced_by_player_04.json,Hehehe... That pierced their armor.,darjeeling,呵呵…你擊穿了他們的裝甲。
