file_path,original_text,character,zhtw
gup_erwin/sentences/ally_killed_by_player_01.json,"Hey, that's an ally.",erwin,喂，那是友軍。
gup_erwin/sentences/ally_killed_by_player_02.json,That's an ally. We've had enough of two-front war.,erwin,那是友軍。我們可不想再體驗兩面作戰了。
gup_erwin/sentences/ally_killed_by_player_03.json,"Calm down, that is an ally.",erwin,冷靜點，那是友軍。
gup_erwin/sentences/ally_killed_by_player_04.json,"Stop, that is an ally you hit.",erwin,住手，你打到友軍了。
gup_erwin/sentences/ally_killed_by_player_05.json,Fighting among ourselves is not a great idea.,erwin,自相殘殺可不是個好主意。
gup_erwin/sentences/ammo_bay_damaged_01.json,"They got our ammo rack... Be careful, it might explode.",erwin,我們的彈藥架被擊中了...小心，可能會爆炸的。
gup_erwin/sentences/ammo_bay_damaged_02.json,The ammo rack has been damaged.,erwin,彈藥架受損了。
gup_erwin/sentences/ammo_bay_damaged_03.json,Ammo rack hit. Not sure if it can stand the next hit.,erwin,彈藥架被擊中。不知道還能不能撐過下一發。
gup_erwin/sentences/ammo_bay_damaged_04.json,Are they targeting the ammo rack!?,erwin,他們在瞄準彈藥架嗎！？
gup_erwin/sentences/armor_not_pierced_by_player_01.json,Blocked...,erwin,被擋下了...
gup_erwin/sentences/armor_not_pierced_by_player_02.json,We couldn't penetrate it.,erwin,我們未能擊穿。
gup_erwin/sentences/armor_not_pierced_by_player_03.json,Armor penetration failed. Aim for a weak spot next time.,erwin,裝甲擊穿失敗。下次瞄準弱點。
gup_erwin/sentences/armor_not_pierced_by_player_04.json,Couldn't penetrate. Load the next shell quickly.,erwin,未能擊穿。快裝填下一發炮彈。
gup_erwin/sentences/armor_not_pierced_by_player_05.json,Failed to penetrate...,erwin,擊穿失敗...
gup_erwin/sentences/armor_pierced_by_player_01.json,"Hmm, good work.",erwin,哼，幹得好。
gup_erwin/sentences/armor_pierced_by_player_02.json,Yes! Penetrated!,erwin,太好了！擊穿了！
gup_erwin/sentences/armor_pierced_by_player_03.json,Yes! Nice one!,erwin,太好了！幹得漂亮！
gup_erwin/sentences/armor_pierced_by_player_04.json,Penetration!,erwin,擊穿！
gup_erwin/sentences/armor_pierced_by_player_05.json,Yes! It's working!,erwin,太好了！起作用了！
gup_erwin/sentences/armor_pierced_crit_by_player_01.json,"Don't worry, it is working!",erwin,別擔心，這招有效！
gup_erwin/sentences/armor_pierced_crit_by_player_02.json,Damage to the enemy vehicle confirmed!,erwin,確認對敵方車輛造成傷害！
gup_erwin/sentences/armor_pierced_crit_by_player_03.json,Damage to the enemy vehicle has been confirmed! Let's keep it up!,erwin,確認對敵方車輛造成傷害！繼續保持！
gup_erwin/sentences/armor_ricochet_by_player_01.json,"Hmm, ricochet.",erwin,嗯，跳彈。
gup_erwin/sentences/armor_ricochet_by_player_02.json,Looks like that one bounced...,erwin,看來那一發被彈開了...
gup_erwin/sentences/armor_ricochet_by_player_03.json,Ricochet!?,erwin,跳彈！？
gup_erwin/sentences/armor_ricochet_by_player_04.json,We hit them but seems like it bounced.,erwin,我們擊中了，但似乎被彈開了。
gup_erwin/sentences/armor_ricochet_by_player_05.json,I guess that was a ricochet.,erwin,我猜那是一發跳彈。
gup_erwin/sentences/armor_ricochet_by_player_06.json,Ricochet. Maybe the angle wasn't right.,erwin,跳彈。也許角度不對。
gup_erwin/sentences/armor_ricochet_by_player_07.json,"We did hit them, but...",erwin,我們確實擊中他們了，但...
gup_erwin/sentences/armor_ricochet_by_player_08.json,"We hit them, but didn't penetrate...",erwin,我們擊中他們了，但未能擊穿...
gup_erwin/sentences/armor_ricochet_by_player_09.json,Ricochet. We'll get 'em next time...!,erwin,跳彈。下次一定能解決他們...！
gup_erwin/sentences/armor_ricochet_by_player_10.json,"No worries, we are hitting them. Load the next shell quickly.",erwin,別擔心，我們有打中。快裝填下一發炮彈。
gup_erwin/sentences/armor_ricochet_by_player_11.json,It bounced!? We have to give them credit for that.,erwin,被彈開了！？這點不得不佩服他們。
gup_erwin/sentences/armor_ricochet_by_player_12.json,That one bounced. Angle it better.,erwin,那一發被彈開了。角度抓好點。
gup_erwin/sentences/armor_ricochet_by_player_13.json,"Tsk, ricochet.",erwin,嘖，跳彈。
gup_erwin/sentences/armor_ricochet_by_player_14.json,Seems like it bounced.,erwin,似乎被彈開了。
gup_erwin/sentences/armor_ricochet_by_player_15.json,That one bounced off.,erwin,那一發被彈開了。
gup_erwin/sentences/commander_killed_01.json,I got hit. I'll rest for a while...,erwin,我被打中了。我要休息一下...
gup_erwin/sentences/commander_killed_02.json,Gah... That one hurt.,erwin,呃...那下真痛。
gup_erwin/sentences/commander_killed_03.json,You got me good...,erwin,你這下打得真狠...
gup_erwin/sentences/commander_killed_04.json,Ugh... guess they're targeting me...,erwin,呃...看來他們盯上我了...
gup_erwin/sentences/commander_killed_05.json,"I have to admit, that one hurt...",erwin,我得承認，那下還挺痛的...
gup_erwin/sentences/commander_killed_06.json,"Gah... I'm alright, it's just a scratch...",erwin,呃...我沒事，只是擦傷...
gup_erwin/sentences/commander_killed_07.json,I need a short rest...,erwin,我需要稍微休息一下...
gup_erwin/sentences/crew_deactivated_01.json,They got us all... Retreat.,erwin,我們全軍覆沒了...撤退。
gup_erwin/sentences/crew_deactivated_02.json,I didn't think this was where it ends...,erwin,我沒想到會在這裡結束...
gup_erwin/sentences/crew_deactivated_03.json,I guess this is where we all fall...,erwin,看來這裡就是我們的殞命之處了...
gup_erwin/sentences/crew_deactivated_04.json,Guess this is as far as we go...,erwin,看來我們只能走到這了...
gup_erwin/sentences/crew_deactivated_05.json,This loss... I won't forget it.,erwin,這次的敗北...我不會忘記的。
gup_erwin/sentences/damage_by_near_explosion_by_player_01.json,Almost a direct hit.,erwin,差一點就直接命中了。
gup_erwin/sentences/damage_by_near_explosion_by_player_02.json,That was so close.,erwin,就差那麼一點。
gup_erwin/sentences/damage_by_near_explosion_by_player_03.json,"Not a direct hit, huh? Let's keep the pressure on.",erwin,不是直接命中嗎？我們繼續施加壓力。
gup_erwin/sentences/damage_by_near_explosion_by_player_04.json,We'll get them next time!,erwin,下次一定能解決他們！
gup_erwin/sentences/damage_by_near_explosion_by_player_05.json,Stay calm. We make the next one count.,erwin,保持冷靜。我們讓下一發確實命中。
gup_erwin/sentences/driver_killed_01.json,The driver's seat has been hit!,erwin,駕駛座被擊中了！
