file_path,original_text,character,zhtw
gup_kei/sentences/ally_killed_by_player_01.json,Hey! That's an ally!,kei,嘿！那是我們自己人啊！
gup_kei/sentences/ally_killed_by_player_02.json,"Stop shooting allies, okay?",kei,別轟自己人啦，好不好！
gup_kei/sentences/ally_killed_by_player_03.json,Whyyy! Why are you shooting an ally?,kei,啊啊！為啥打自己人啦？
gup_kei/sentences/ally_killed_by_player_04.json,"Hey, that's an ally you are shooting.",kei,喂！你在轟自己人耶！
gup_kei/sentences/ally_killed_by_player_05.json,"Hey hey, what are you doing?",kei,嘿嘿！你在搞什麼鬼啊？
gup_kei/sentences/ammo_bay_damaged_01.json,They are aiming at our ammo rack!,kei,他們衝著我們的彈藥架來啦！
gup_kei/sentences/ammo_bay_damaged_02.json,The possibility of ammo rack explosion is increased!,kei,彈藥架要炸了！超危險！
gup_kei/sentences/ammo_bay_damaged_03.json,Aiming at the ammo rack? They are not fighting fair!,kei,瞄準彈藥架？這招太不公平了吧！
gup_kei/sentences/ammo_bay_damaged_04.json,Are they aiming at the ammo rack? Be careful!,kei,他們在打彈藥架？大家小心啊！
gup_kei/sentences/armor_not_pierced_by_player_01.json,That was blocked!,kei,被擋下來啦！
gup_kei/sentences/armor_not_pierced_by_player_02.json,Penetration failed. Don't worry about it!,kei,沒貫穿！別慌，繼續來！
gup_kei/sentences/armor_not_pierced_by_player_03.json,"It's okay, load the next shell quickly.",kei,沒事！快裝下一發，衝！
gup_kei/sentences/armor_not_pierced_by_player_04.json,It'll be a-okay if we penetrate them next time!,kei,下次一定貫穿！沒問題！
gup_kei/sentences/armor_not_pierced_by_player_05.json,Don't worry about it!,kei,別擔心！我們再來！
gup_kei/sentences/armor_pierced_by_player_01.json,Nice shot!,kei,超棒一擊！
gup_kei/sentences/armor_pierced_by_player_02.json,Penetrated! Alright!,kei,貫穿啦！太讚了！
gup_kei/sentences/armor_pierced_by_player_03.json,Great!,kei,幹得好！
gup_kei/sentences/armor_pierced_by_player_04.json,Doing well! Keep it up!,kei,表現超棒！繼續加油！
gup_kei/sentences/armor_pierced_by_player_05.json,Yaaay!,kei,耶！超爽！
gup_kei/sentences/armor_pierced_crit_by_player_01.json,"It's alright, we are hitting them!",kei,沒問題！我們狠狠打中他們啦！
gup_kei/sentences/armor_pierced_crit_by_player_02.json,It's okay! It landed!,kei,太好了！命中啦！
gup_kei/sentences/armor_pierced_crit_by_player_03.json,Critical damage confirmed!,kei,重創確認！給力！
gup_kei/sentences/armor_ricochet_by_player_01.json,Huh? It ricocheted!,kei,啥？彈開了！
gup_kei/sentences/armor_ricochet_by_player_02.json,Ricochet? No problem!,kei,彈開？小意思！
gup_kei/sentences/armor_ricochet_by_player_03.json,Seems like that ricocheted.,kei,好像彈開了耶。
gup_kei/sentences/armor_ricochet_by_player_04.json,"Hmm, that ricocheted.",kei,嗯，彈開了啊。
gup_kei/sentences/armor_ricochet_by_player_05.json,Maybe the angle wasn't right.,kei,角度不對吧？再試！
gup_kei/sentences/armor_ricochet_by_player_06.json,That's a ricochet. Get ready to load the next one!,kei,彈開了！快裝下一發！
