file_path,original_text,character,zhtw
gup_miho/sentences/ally_killed_by_player_01.json,Please don't fire at an ally!,miho,請不要對友軍開火！
gup_miho/sentences/ally_killed_by_player_02.json,Please avoid friendly fire!,miho,請避免誤傷友軍！
gup_miho/sentences/ally_killed_by_player_03.json,"We might hit an ally, be careful!",miho,小心，我們可能會擊中友軍！
gup_miho/sentences/ally_killed_by_player_04.json,Please don't fire at an ally!,miho,請不要對友軍開火！
gup_miho/sentences/ally_killed_by_player_05.json,"We might hit an ally, be careful!",miho,小心，我們可能會擊中友軍！
gup_miho/sentences/ammo_bay_damaged_01.json,Ammo rack hit? How bad?,miho,彈藥架被擊中了？損壞程度如何？
gup_miho/sentences/ammo_bay_damaged_02.json,Ammo rack hit? Be careful not to let it explode,miho,彈藥架被擊中了？小心別讓它爆炸！
gup_miho/sentences/ammo_bay_damaged_03.json,"Ammo rack? Everybody, be careful!",miho,彈藥架？大家小心！
gup_miho/sentences/ammo_bay_damaged_04.json,Ammo rack hit? How bad?,miho,彈藥架被擊中了？損壞程度如何？
gup_miho/sentences/armor_not_pierced_by_player_01.json,Almost...,miho,差一點…
gup_miho/sentences/armor_not_pierced_by_player_02.json,The enemy vehicle's armor seems to be quite tough,miho,敵方車輛的裝甲似乎很堅固…
gup_miho/sentences/armor_not_pierced_by_player_03.json,"We've managed to hit, but...",miho,我們擊中了，但是…
gup_miho/sentences/armor_not_pierced_by_player_04.json,Looks like that didn't penetrate,miho,好像沒能貫穿…
gup_miho/sentences/armor_not_pierced_by_player_05.json,Let's aim at the weak spots!,miho,瞄準弱點吧！
gup_miho/sentences/armor_pierced_by_player_01.json,Armor penetration confirmed!,miho,確認貫穿裝甲！
gup_miho/sentences/armor_pierced_by_player_02.json,"Direct hit! Great, Hana-san!",miho,直接命中！太棒了，華同學！
gup_miho/sentences/armor_pierced_by_player_03.json,We did it! Armor penetration!,miho,成功了！貫穿裝甲！
gup_miho/sentences/armor_pierced_by_player_04.json,Great shot!,miho,射擊得很棒！
gup_miho/sentences/armor_pierced_by_player_05.json,Shell hit!,miho,炮彈命中！
gup_miho/sentences/armor_pierced_crit_by_player_01.json,"Direct hit! The opponent's seriously damaged, amazing!",miho,直接命中！對方受到重創，太厲害了！
gup_miho/sentences/armor_pierced_crit_by_player_02.json,We did it! Great shot!,miho,成功了！射擊得很棒！
gup_miho/sentences/armor_pierced_crit_by_player_03.json,"Hana-san, keep it up!",miho,華同學，繼續加油！
gup_miho/sentences/armor_ricochet_by_player_01.json,Hit! But... bounced...,miho,擊中了！但是…被彈開了…
gup_miho/sentences/armor_ricochet_by_player_02.json,That armor... seems to be quite tough...,miho,那裝甲…似乎很堅固…
gup_miho/sentences/armor_ricochet_by_player_03.json,"It got deflected, huh... Hana-san, can you aim for its weak spot?",miho,被彈開了…華同學，能瞄準它的弱點嗎？
gup_miho/sentences/armor_ricochet_by_player_04.json,I didn't expect the shell to be bounced...,miho,沒想到炮彈會被彈開…
gup_miho/sentences/armor_ricochet_by_player_05.json,Hit! But... bounced...,miho,擊中了！但是…被彈開了…
gup_miho/sentences/armor_ricochet_by_player_06.json,Hit! But... bounced...,miho,擊中了！但是…被彈開了…
gup_miho/sentences/armor_ricochet_by_player_07.json,Hit! But... bounced...,miho,擊中了！但是…被彈開了…
gup_miho/sentences/armor_ricochet_by_player_08.json,That armor... seems to be quite tough...,miho,那裝甲…似乎很堅固…
gup_miho/sentences/armor_ricochet_by_player_09.json,That armor... seems to be quite tough...,miho,那裝甲…似乎很堅固…
gup_miho/sentences/armor_ricochet_by_player_10.json,That armor... seems to be quite tough...,miho,那裝甲…似乎很堅固…
