file_path,original_text,character,zhtw
gup_mika/sentences/ally_killed_by_player_01.json,"Well well,  don't shoot our friendly.",mika,哎呀，別對友軍開火。
gup_mika/sentences/ally_killed_by_player_02.json,"Oh, seems like we hit one of ours.",mika,哦，好像打中了我們自己的車。
gup_mika/sentences/ally_killed_by_player_03.json,That one was a friendly. Let's calm down.,mika,那是友軍。冷靜一點吧。
gup_mika/sentences/ally_killed_by_player_04.json,You've just shot our own vehicles.,mika,你剛剛打中了我們的車輛。
gup_mika/sentences/ally_killed_by_player_05.json,"You've made a mistake, haven't you? Oh well.",mika,你犯了錯，對吧？無所謂。
gup_mika/sentences/ammo_bay_damaged_01.json,"Oh, our ammor rack got damaged?",mika,哦，我們的彈藥架受損了？
gup_mika/sentences/ammo_bay_damaged_02.json,Ammor rack hit? We need to avoid possible explosions.,mika,彈藥架被擊中了？得避免可能的爆炸。
gup_mika/sentences/ammo_bay_damaged_03.json,They are aiming at our ammo rack. Seems like it suffered damaged.,mika,他們瞄準了我們的彈藥架，好像受損了。
gup_mika/sentences/ammo_bay_damaged_04.json,Ammo rack hit? Not sure if it can  survive the next one.,mika,彈藥架被擊中了？不知道下一次還能不能撐住。
gup_mika/sentences/armor_not_pierced_by_player_01.json,It doesn't penetrate...? That's quite an armor.,mika,沒能貫穿…？那裝甲真厚。
gup_mika/sentences/armor_not_pierced_by_player_02.json,It seems that it's not working.,mika,好像沒用。
gup_mika/sentences/armor_not_pierced_by_player_03.json,"Let's aim for a thinner spot next, ok?",mika,下一發瞄準薄一點的地方，好嗎？
gup_mika/sentences/armor_not_pierced_by_player_04.json,"Oh, that bounced their armor.",mika,哦，炮彈被他們的裝甲彈開了。
gup_mika/sentences/armor_not_pierced_by_player_05.json,That's a sturdy armor.,mika,那裝甲真堅固。
gup_mika/sentences/armor_pierced_by_player_01.json,Confirmed penetration.,mika,確認貫穿。
gup_mika/sentences/armor_pierced_by_player_02.json,"Yes, this one was good.",mika,嗯，這一發不錯。
gup_mika/sentences/armor_pierced_by_player_03.json,"Nice, we penetrated them.",mika,很好，我們貫穿了他們。
gup_mika/sentences/armor_pierced_by_player_04.json,Hehe. We have the White Witch.,mika,呵呵，我們有白色魔女。
gup_mika/sentences/armor_pierced_by_player_05.json,As I thought. With this angle we can damage them.,mika,果然如此。這個角度能傷害他們。
gup_mika/sentences/armor_pierced_crit_by_player_01.json,"Don't worry, this should be working.",mika,別擔心，這應該有效。
gup_mika/sentences/armor_pierced_crit_by_player_02.json,Don't panic. We hit them properly isn't it?,mika,別慌，我們打得很好，對吧？
gup_mika/sentences/armor_pierced_crit_by_player_03.json,Not bad. Let's keep pressuring them.,mika,不錯，繼續施壓吧。
gup_mika/sentences/armor_ricochet_by_player_01.json,"Hmm, just a small scratch huh?",mika,嗯，只是小擦傷吧？
gup_mika/sentences/armor_ricochet_by_player_02.json,"Oh, seems like that one bounced.",mika,哦，那一發好像被彈開了。
gup_mika/sentences/armor_ricochet_by_player_03.json,A ricochet... Our angle was the problem.,mika,彈開了…我們的射擊角度有問題。
gup_mika/sentences/armor_ricochet_by_player_04.json,Don't panic. We will penetrate next.,mika,別慌，下一發會貫穿。
gup_mika/sentences/armor_ricochet_by_player_05.json,No need to feel down. Ricochets happen,mika,不用沮喪，彈開是常有的事。
gup_mika/sentences/armor_ricochet_by_player_06.json,Ricochet? It happens when you ride tanks.,mika,彈開？駕駛戰車時常有的事。
gup_mika/sentences/armor_ricochet_by_player_07.json,That bounced. Not like I planned. But that's Sensha-do.,mika,彈開了。不是我計劃的那樣，但這就是戰車道。
gup_mika/sentences/armor_ricochet_by_player_08.json,"Hmm, just a small scratch huh?",mika,嗯，只是小擦傷吧？
gup_mika/sentences/armor_ricochet_by_player_09.json,"Oh, seems like that one bounced.",mika,哦，那一發好像被彈開了。
gup_mika/sentences/armor_ricochet_by_player_10.json,A ricochet... Our angle was the problem.,mika,彈開了…我們的射擊角度有問題。
gup_mika/sentences/armor_ricochet_by_player_11.json,Don't panic. We will penetrate next.,mika,別慌，下一發會貫穿。
gup_mika/sentences/armor_ricochet_by_player_12.json,No need to feel down. Ricochets happen,mika,不用沮喪，彈開是常有的事。
gup_mika/sentences/armor_ricochet_by_player_13.json,Ricochet? It happens when you ride tanks.,mika,彈開？駕駛戰車時常有的事。
gup_mika/sentences/armor_ricochet_by_player_14.json,That bounced. Not like I planned. But that's Sensha-do.,mika,彈開了。不是我計劃的那樣，但這就是戰車道。
gup_mika/sentences/armor_ricochet_by_player_15.json,That bounced. Not like I planned. But that's Sensha-do.,mika,彈開了。不是我計劃的那樣，但這就是戰車道。
gup_mika/sentences/commander_killed_01.json,...This one hurt a little.,mika,…這一下有點痛。
gup_mika/sentences/commander_killed_02.json,After this one... Maybe I need a break...,mika,挨了這一下…或許我需要休息一下…
gup_mika/sentences/commander_killed_03.json,No point in trying too hard.,mika,太過努力也沒什麼意義。
gup_mika/sentences/commander_killed_04.json,I felt this impact.,mika,我感覺到這次衝擊了。
